specialty,procedure_slug,procedure_name,image,width,height,sha256
bariatric-surgery,adjustable-gastric-band,Adjustable Gastric Band,public/assets/img/final/procedure-adjustable-gastric-band.webp,1400,933,70367a0955fdb59ddf0bd3982caf57cc3f250032772f237fb83219bdd811d5c4
bariatric-surgery,duodenal-switch,Duodenal Switch,public/assets/img/final/procedure-duodenal-switch.webp,1400,933,c1abaa95307f7dd84596f5aaf46bc1f9a18fab617e0d75104006a5bd390b5b00
bariatric-surgery,endoscopic-sleeve-gastroplasty,Endoscopic Sleeve Gastroplasty,public/assets/img/final/procedure-endoscopic-sleeve-gastroplasty.webp,1400,933,1d2ecca50d872caf22d372ef3818618b015319d5336c1a7888ee46c84be95f36
bariatric-surgery,gastric-balloon,Gastric Balloon,public/assets/img/final/procedure-gastric-balloon.webp,1400,933,98d47acb94c6d5b01585e143b9896be308877be8503568b9c07aacc500157a2a
bariatric-surgery,gastric-band-removal-conversion,Gastric Band Removal / Conversion,public/assets/img/final/procedure-gastric-band-removal-conversion.webp,1400,933,5950cba051b471b5cc837b4d2bf81af09b415d4f7c3815cfe634bf93ad8a9699
bariatric-surgery,one-anastomosis-gastric-bypass,One-Anastomosis Gastric Bypass,public/assets/img/final/procedure-one-anastomosis-gastric-bypass.webp,1400,933,4765af90ebb274aa0b1e3dac503054796770f357f361f5035ca1f0fc76821809
bariatric-surgery,revisional-bariatric-surgery,Revisional Bariatric Surgery,public/assets/img/final/procedure-revisional-bariatric-surgery.webp,1400,933,1a0be9b37f651141ff03d16e1ea499533ac350360e0a6d801194197ed3319149
bariatric-surgery,roux-en-y-gastric-bypass,Roux-en-Y Gastric Bypass,public/assets/img/final/procedure-roux-en-y-gastric-bypass.webp,1400,933,8e4abbdf64da502d69d93f8b5b92ed8ce180e13bd35c28742a2cf24c5c0a4e35
bariatric-surgery,sadi-s,SADI-S,public/assets/img/final/procedure-sadi-s.webp,1400,933,7a3e79053cc37e25bd21c6a05ad308138c26e22a7c8c8500cf6829832c992324
bariatric-surgery,sleeve-gastrectomy,Sleeve Gastrectomy,public/assets/img/final/procedure-sleeve-gastrectomy.webp,1400,933,40a17ea42d5cdf4c462c6c7ac87284c9342709e90cf46db93c5777ea3c0de96f
cosmetic-surgery,blepharoplasty,Blepharoplasty,public/assets/img/final/procedure-blepharoplasty.webp,1400,933,5aeeeed95e407a04dd6fc5be0ee5a5e7ec53d2317c02a8c2df4c07da28bb5049
cosmetic-surgery,body-lift,Body Lift,public/assets/img/final/procedure-body-lift.webp,1400,933,00059ce4676f683f8585b70435dbcc8d7bd2554b9aa966b4ae0e6ebe86e7d790
cosmetic-surgery,breast-augmentation,Breast Augmentation,public/assets/img/final/procedure-breast-augmentation.webp,1400,933,84ce9044925eb8653123564243342c2e291e1206886ecf3eca9d4ce70343021c
cosmetic-surgery,breast-lift,Breast Lift,public/assets/img/final/procedure-breast-lift.webp,1400,933,b8affc1db2e6afcf9fa1fe9fb775fe4b49603ae3d26b6bcd4cc7456325bffab1
cosmetic-surgery,breast-reduction,Breast Reduction,public/assets/img/final/procedure-breast-reduction.webp,1400,933,8805e971d01335f6b49959fd217e95df2b5af825101500f61ab02c904c843945
cosmetic-surgery,facelift-neck-lift,Facelift / Neck Lift,public/assets/img/final/procedure-facelift-neck-lift.webp,1400,933,3a8f56d04e64290b3d2622151ac0046e3603374924d08efc985632f5de4b32c9
cosmetic-surgery,gynecomastia-surgery,Gynecomastia Surgery,public/assets/img/final/procedure-gynecomastia-surgery.webp,1400,933,cf17e1033ade10818d920833e007acc9194ad3f162dcfaff85659fa56b0d0c27
cosmetic-surgery,liposuction,Liposuction,public/assets/img/final/procedure-liposuction.webp,1400,933,8f898f17ed641f24e8d5b6721697b780208975def5f84ffd904f793ff51214f9
cosmetic-surgery,rhinoplasty,Rhinoplasty,public/assets/img/final/procedure-rhinoplasty.webp,1400,933,c921c5b205c7cffb85fe829a57e11db89beef630a707cbeb6bfd7e7a75ace644
cosmetic-surgery,tummy-tuck-abdominoplasty,Tummy Tuck / Abdominoplasty,public/assets/img/final/procedure-tummy-tuck-abdominoplasty.webp,1400,933,f0610eb43a14617ec63a1477f82ae9170b5a71095f9c36f98b2d03b5b1d0192f
dental,all-on-4,All-on-4,public/assets/img/final/procedure-all-on-4.webp,1400,933,d5dfd667104b4b2dc4405f8090888111dcabc9ec98ad263b20c8fd88fa4d4b10
dental,all-on-6,All-on-6,public/assets/img/final/procedure-all-on-6.webp,1400,933,6539a3d9f692168eca41418572a3a2902f4e399283d2e8d6f49c7ee4ffa33fbd
dental,bone-grafting-and-sinus-lift,Bone Grafting & Sinus Lift,public/assets/img/final/procedure-bone-grafting-and-sinus-lift.webp,1400,933,0dd2c66e78a9a2f0db4ef25e2ddfa92e75baf9c07af9f8a3bd3bc60fb8b9529c
dental,dental-bridges,Dental Bridges,public/assets/img/final/procedure-dental-bridges.webp,1400,933,bf433668dbba3addefe46f20d480dc708262030996f4f545542d3d6e894df5f0
dental,dental-crowns,Dental Crowns,public/assets/img/final/procedure-dental-crowns.webp,1400,933,198a197073593b9a2e5d8b36ddb82b4bcb929958e6f26e23c01dae24693d1f88
dental,dental-implants,Dental Implants,public/assets/img/final/procedure-dental-implants.webp,1400,933,7765c400111597160bca252cd94520bf571be11953d422bbb9ab1f620a802024
dental,dental-veneers,Dental Veneers,public/assets/img/final/procedure-dental-veneers.webp,1400,933,e1fcb5afdb992f622fbb465161cbc0157d52f8d2cca87d7a45a3a6c6eaf822bb
dental,orthodontics-and-aligners,Orthodontics & Aligners,public/assets/img/final/procedure-orthodontics-and-aligners.webp,1400,933,9bbf0d0d8fa9302d0c480fdb02eb561bafad1b69da4db02c9aa51a5db4dea03d
dental,periodontal-treatment,Periodontal Treatment,public/assets/img/final/procedure-periodontal-treatment.webp,1400,933,7476ed6bfbc6dacf10e57655a06ba04dc46b3558de989d26d0800ffcca9227d6
dental,root-canal-treatment,Root Canal Treatment,public/assets/img/final/procedure-root-canal-treatment.webp,1400,933,67067ee7d1241cd82de7e31d8649f3a770ee653d13a6e92fdd7d342aeb18a38f
ent,adenoidectomy,Adenoidectomy,public/assets/img/final/procedure-adenoidectomy.webp,1400,933,989b46e0fe14f7cd3d3d94650ae1da976fd1b5c14b3c5cd43801fcd0ddac018f
ent,cochlear-implant-surgery,Cochlear Implant Surgery,public/assets/img/final/procedure-cochlear-implant-surgery.webp,1400,933,70f2e218704402aba22dfcae4a04be1c78dfc4c4bcd8db6ca9cd038ef4c0d62d
ent,functional-endoscopic-sinus-surgery,Functional Endoscopic Sinus Surgery,public/assets/img/final/procedure-functional-endoscopic-sinus-surgery.webp,1400,933,873b6b5d2b49a7eb7257107abd286a20154bf98c8811cd6d5267fe02a75f8535
ent,septoplasty,Septoplasty,public/assets/img/final/procedure-septoplasty.webp,1400,933,71466a6575eea3db860cde1aebe2d7552bf7ec37e7c6d47f03489bc879d4bddc
ent,sleep-apnea-surgery,Sleep Apnea Surgery,public/assets/img/final/procedure-sleep-apnea-surgery.webp,1400,933,0924b144061462161ac86f236eaaef5cf06c3f30d35bf262db4f09f60225a674
ent,stapedectomy-stapedotomy,Stapedectomy / Stapedotomy,public/assets/img/final/procedure-stapedectomy-stapedotomy.webp,1400,933,28c4df9ea36eed8681ad1cdc18064cdb15293d8d38b6561c53f880b4733b934a
ent,tonsillectomy,Tonsillectomy,public/assets/img/final/procedure-tonsillectomy.webp,1400,933,0d33af4b19b55d33f79bff3a86d914ca8c4c480aa1d76fcf7089785bf0f8288a
ent,turbinate-reduction,Turbinate Reduction,public/assets/img/final/procedure-turbinate-reduction.webp,1400,933,b8590f8bdca1aa1fe1fa6d3c9e6ea71adb8397488163f11bc05ee2ff32af4745
ent,tympanoplasty,Tympanoplasty,public/assets/img/final/procedure-tympanoplasty.webp,1400,933,a9f4c9edbe061bc7b01dcb0bdab34003418e661817a60da7d4f7cadb87e8121a
